label	exit_code	elapsed_seconds
guard	0	0
compiler	0	0
build-normal	0	5
build-no-sve	0	6
build-fail-shared	0	6
assembly	0	3
micro-t1	0	0
normal-t1	0	1
normal-t4	0	0
normal-t38	0	1
shared-fail-t4	0	0
no-sve-t4	0	0
narrow-vl-t4	0	0
verify-results	0	0
